#{"t_start": 1607029383.054191, "env_id": null}
r,l,t
-0.761905,11,105.631969
1.166667,8,105.667957
-0.738095,12,105.72485
1.095238,5,105.749579
-0.833333,8,105.788814
1.285714,13,105.849932
-0.714286,13,105.908084
1.214286,10,105.952724
1.309524,14,106.015951
-9.738095,12,106.069286
1.214286,10,106.115842
-0.785714,10,106.164315
1.214286,10,106.210864
1.190476,9,106.253759
-9.833333,8,106.294326
1.166667,8,106.332532
-0.666667,15,106.40236
-0.785714,10,106.450794
1.142857,7,106.483475
-9.642857,16,106.727722
1.166667,8,106.766742
1.309524,14,106.833779
1.190476,9,106.879349
1.214286,10,106.926945
1.119048,6,106.956442
1.142857,7,106.991636
-0.833333,8,107.031941
-9.761905,11,107.082348
1.238095,11,107.133371
-0.833333,8,107.171623
1.261905,12,107.227952
-0.809524,9,107.272313
1.119048,6,107.306287
1.095238,5,107.33078
-0.904762,5,107.356635
-0.857143,7,107.391816
1.261905,12,107.449669
1.238095,11,107.501163
1.142857,7,107.534513
-0.809524,9,107.579872
1.190476,9,107.621795
-0.738095,12,107.678013
-0.666667,15,107.747138
-9.880952,6,107.776656
-9.738095,12,107.83067
1.261905,12,107.887128
1.190476,9,107.929934
1.285714,13,108.14192
-9.666667,15,108.207753
1.142857,7,108.240721
1.333333,15,108.309589
1.214286,10,108.356733
-0.785714,10,108.403614
1.261905,12,108.459111
-0.666667,15,108.532667
1.261905,12,108.590852
1.238095,11,108.639922
1.357143,16,108.715659
-0.738095,12,108.773914
-0.761905,11,108.826751
-0.785714,10,108.876437
1.190476,9,108.91836
1.238095,11,108.969409
-0.833333,8,109.0078
1.142857,7,109.041262
1.238095,11,109.091563
1.190476,9,109.134698
1.309524,14,109.20006
1.238095,11,109.25331
1.095238,5,109.279449
1.166667,8,109.477997
-9.785714,10,109.523007
-0.857143,7,109.5571
1.214286,10,109.605835
1.285714,13,109.665639
1.214286,10,109.710159
1.190476,9,109.750242
1.166667,8,109.788324
1.190476,9,109.830673
-9.738095,12,109.888116
1.119048,6,109.918136
-0.833333,8,109.959118
1.119048,6,109.989324
1.166667,8,110.026738
1.166667,8,110.064582
-0.880952,6,110.095347
-0.857143,7,110.13191
1.214286,10,110.179793
-0.857143,7,110.215563
1.142857,7,110.249185
1.309524,14,110.314045
-9.738095,12,110.372505
-0.857143,7,110.407268
1.166667,8,110.445436
1.166667,8,110.483834
1.095238,5,110.508174
1.214286,10,110.554709
1.190476,9,110.599469
1.238095,11,110.650805
1.238095,11,110.875896
-0.714286,13,110.940657
1.190476,9,110.983205
1.071429,4,111.004247
-0.880952,6,111.033734
1.095238,5,111.057437
-0.690476,14,111.124684
-0.833333,8,111.165302
-0.642857,16,111.240491
1.166667,8,111.278642
1.190476,9,111.320917
-0.761905,11,111.375996
1.380952,17,111.453672
-0.761905,11,111.505711
-9.738095,12,111.558466
-9.809524,9,111.600714
1.214286,10,111.646016
1.261905,12,111.702046
-9.619048,17,111.77803
1.214286,10,111.823366
-0.809524,9,111.868453
1.119048,6,111.898137
-0.785714,10,111.947075
1.190476,9,111.99013
1.119048,6,112.018579
1.285714,13,112.236542
1.309524,14,112.301734
-0.761905,11,112.35673
1.309524,14,112.422713
-0.738095,12,112.47844
-0.785714,10,112.527606
1.190476,9,112.570024
-9.666667,15,112.640076
-0.833333,8,112.679045
1.285714,13,112.740162
-0.714286,13,112.80276
1.309524,14,112.869792
1.238095,11,112.922228
-0.857143,7,112.9585
-9.690476,14,113.023905
1.261905,12,113.082256
1.261905,12,113.139366
1.214286,10,113.187188
-9.761905,11,113.236729
1.142857,7,113.270274
1.238095,11,113.319501
1.095238,5,113.344234
-0.809524,9,113.393214
1.214286,10,113.439566
1.261905,12,113.649564
-9.761905,11,113.702307
1.142857,7,113.735771
1.285714,13,113.796342
1.214286,10,113.844102
1.214286,10,113.889417
-0.785714,10,113.936601
1.309524,14,114.001242
-9.738095,12,114.054677
-9.833333,8,114.091505
1.214286,10,114.140809
-0.738095,12,114.199678
1.190476,9,114.243261
1.190476,9,114.285772
-0.880952,6,114.316864
